title,usr_code,review,place,travel_date,rating
Nice enough Museum - go on a free day!,michaelbZ9883TL,"I have been to the Chicago History Museum many times.  I try to go whenever there is a special exhibit that I want to see.  It would be my recommendation to go on a Free day.  Children under 12 years old and Illinois residents under 18 years old are always free. Illinois residents of all ages are offered free admission every Tuesday excluding January 1, January 8, December 24 and December 31.  If you use your Bank of America, Merrill Lynch or U.S. Trust credit or debit card and a photo ID on the first full weekend of every month for one free general admission.  You can find street parking in the area without too much trouble on Clark street or one of the side streets.  I would say an hour or two is a nice amount of time.  They do have a very nice gift shop and a very affordable small diner with hot dogs, coffee, etc.",Chicago History Museum,February 2019,40
Amazing treasure of information about Chicago,sandrasY625CF,This is one of the best museums in Chicago.  It has history to the founding of Chicago as well as the colorful 20th century characters that lived here.  Visit this place and you will be enriched,Chicago History Museum,June 2018,50
Really nice history museum,Michael N,"Visited during spring break, really enjoyed the experience. The blues exhibit is really well done, interactive and fun. It’s not part os museum campus, so crowds were very light compared to those. Really enjoyable place, friendly staff. Take time to stop by. ",Chicago History Museum,April 2019,50
Super Fun Ice Skating ,alexchicago1,"Maggie Daley is so much fun with or without children! The skating ribbon is fantastic, a short little circle with a slight incline/decline. I recommend going right when the Zamboni has finished its run to resurface the ice of the ribbon. It’s a great time with friends, family or a great date idea! ",Maggie Daley Park,April 2019,50
Daley Park - perfect for a family outing,DrVirginia,"This park is directly adjacent to Millenium Park and features trails, rock-climbing walls, a children's playground, stunning views of Lake Michigan, and a beautiful pedestrian bridge connecting to Millenium. Security is plentiful so you feel safe even if you are walking or jogging alone. On the days I was there, I saw families, individuals, and even some professional photographers taking advantage of the beautiful sun and stunning views.",Maggie Daley Park,April 2019,50
Fun for all ages! Literally,kimkaydee,"This park is amazing!  It’s such a great park to take our daughter, but honestly we enjoy it as well. The kids playground can get crazy packed, but the kids love it so much!  The ribbon rink and rock wall were closed when we were there, but we are already planning our next trip to enjoy those.  The putt-putt looked so cute... you have to go here!",Maggie Daley Park,April 2019,50
Family trip to Chicago,542jonathanr,"This was an excellent place to let the kids play while the adults unwind. There was lots to do. Slides, forts, climbing structures, and swings.",Maggie Daley Park,April 2019,50
Coolest Park Ever!,wisdom522,"This park is adorable. So much to do here. It has a ice skating rink (in the winter), skating/scooter rink (spring/summer), wall climbing and a huge playgrounds with several sections for different ages. Close to other attractions so it's perfectly located. We loved it!",Maggie Daley Park,April 2019,50
Peaceful and serene experience,Dan C,"A great get away from the hustle and traffic of the Loop. My favorite place in Lincoln Park is a hidden gem, called The Conservatory. It is a must see place that is well worth the effort.",Lincoln Park,February 2018,50
Walk and Enjoy,Sandtravel2,"Congratulations Chicago.  The park is safe, clean and well maintained.  You can easily forget you are in the city.  ",Lincoln Park,September 2018,50
All All cities should take their lead from Chicago,McWett,I really enjoyable place on a nice warm afternoon.,Lincoln Park,September 2018,50
Well Kept / Good Variety of Animals,Steve D,"If you have the time in Chicago, I would definitely recommend the Lincoln Park Zoo.  There is parking on the backside of the zoo if you can find it, that will save you a lot of $$.  The zoo is very well kept and is FREE! Yes, FREE!  The grounds are magnificent and they have some very kid-friendly areas that are enjoyable with even small children.  If you have a good weather day; it can fill up so be ready for that.",Lincoln Park,May 2018,50
Green and pleasant park,kingdaddio,"Visited here on a Sunday afternoon.   It was a pleasant and relaxing experinece.  Lots of groups playing soft ball, soccer etc.  Nice to see families enjoying themselves in the autumn sun. Walked down to the beach and had a paddle.  Well worth a visit.",Lincoln Park,September 2018,50
"Amazing place, very nice staff, and no admission!",BenLar137,"This is a brilliant place to visit with family, friends, or just to see some gorgeous plants.  The bonus is they had staff there who greeted us and made us feel welcome.  Inside, the plants are in beautiful condition, and there's always something fascinating to see.  If you're in north Chicago, take a look!",Lincoln Park Conservatory,October 2018,50
