title,travel_date,rating,place,usr_code,review
A beautiful walk in the park,October 2018,50,Maurice Gibb Memorial Park,Ken_and_Marcella,"Nice little park on the bay. Located next to the marina in Sunset Harbour, South Beach. Nothing special. But ... nice."
Sister Birthday no children ,March 2019,40,Museum Park,Maggs1976,"Better to go during the week, less crowded. Take the metro mover, it’s free. "
Respite in Miami,July 2019,50,Museum Park,Annalisad65,"Museum Park is a gorgeous undulating green expanse of 30 acres located in downtown Miami, east of Biscayne Boulevard and hugging the bay. Aptly named, the park is home to the Phillip and Patricia Frost Museum of Science and Perez Art Museum Miami (PAMM). Two other cultural institutions, Museum of Art And Design (MOAD) in historic Freedom Tower and the Adrienne Arsht Center for the Performing Arts, are just a few short blocks away. The late and famed architect Zaha Hadid’s One Thousand Museum, a stunning architectural gem, is located directly opposite the park and the American Airlines Arena separates it from Bayfront Park to the south. Museum Park offers a welcome respite from the baking heat of downtown streets where the sound of construction and the constant hum of traffic is omnipresent. I took a long cycle through the park early this July 4th morning. Most people were either sleeping in or away for the long weekend as it was quieter than usual. There are several walking/cycling paths and copses of shade trees throughout the park where permanent outdoor sculptures provide points of interest. The beautiful bay walk stretches all the way from PAMM and connects to a long promenade that serves as the main point of entry to the park. The spectacular 20-foot bronze sculpture, “Flora la Recogedora de Suenos,” dedicated to the City of Miami in 2010, is located at this entrance. Breathtaking views of the ocean as well as the glittering and ever evolving Miami skyline surround the park. Ramps provide access to the museums’ terraces and gardens. There are plenty of benches and shaded spots to relax. Museum Park is flawlessly designed and esthetically pleasing to the eyes. The Metromover has a convenient station stop here and parking is available at the museums. A visit to Museum Park is a downtown must!"
Friendly family church,August 2016,40,St. Raymond Catholic Church,Mariana R,"At times, too Latin. I attend both languages. I prefer English. But, they are very family-oriented, genuine and unpretentious. Nice change from the high-end stuck up churches."
I Love this Church!,October 2016,40,St. Raymond Catholic Church,Not_Always_Italian,"Although this is not my Parish, I love the 9am mass on Sunday. I stumbled upon this church by chance, but keep going back when I can. I love the decor, simple, with beautiful colors. The music and songs at the 9am mass are performed by nuns, and I love their voices. The church is not very big, which makes it more welcoming in my opinion, and has plenty of parking. "
Quaint Church in the Gables,November 2017,50,St. Raymond Catholic Church,afootandahalf,This is a lovely little church in Coral Gables.  If you want Spanish mass then this place is for you.  It also has mass in English but check their schedule.  
St Raymond,February 2018,40,St. Raymond Catholic Church,NoraWetzstein,"St Raymond is one of my favorite churches.  Is located in a nice and quiet Neighborhood and parishioners are mostly locals.  Simple, quiet, no nonsense."
simple but expensive,May 2019,30,Fairchild Tropical Botanic Garden,American_bullit,"Great to spare a peaceful moment, but expensive for what you get."
So much fun!,October 2019,50,Dolphin Mall,Simara,"Beautiful mall. Went to listen to live music. It was so much fun. There are plenty of stores, many restaurants and bars. Enough to spend the whole day and night shopping and having fun. "
Not friendly shopping center,October 2019,10,Dolphin Mall,Nikkor99,Not worth your headache. Nothing worth your time and money. Go to a local Burger King or McDonalds for dinner.
Great mall,November 2018,50,Dolphin Mall,travelingbugs10,Great mall to walk around and many shops to go to. There are also good restaurants and 2 minis theaters. My son loves coming here as well.
Decent Mall,September 2019,40,Dolphin Mall,Nattysimps,Decent mall. They have all your typical stores and brands. Its a large mall and can be very crowded. Good luck with the parking too
Shopping for everyone! And entertainment too!!,October 2019,40,Dolphin Mall,njmedia2,"The Dolphin Mall is almost it’s own destination resort. I say this because of the extensive size and number of options that this unique mall offers its patrons. From the super high end to the cost effective shopping options, there are stores for every taste and budget. In addition there is a movie theater, bowling alley and Dave & Busters as well. Lots of food, too! Great place for hot or rainy days, or when you’re looking for anything from jewelry to hunting items to clothing to gifts... and more."
Great Free Transport in Miami,August 2019,50,Metromover,Mduque74,Congratulations for this project!
Good to Park and Use The Mover around Downtown,September 2019,40,Metromover,Daya M,"It was great to park and then use the mover around downtown for a “day in our town” with our kids. We went to Frost Museum, Miami court house, 1st library and Brickell place for dinner. It was cleaned and during the day felt save. Lots of business people and tourists riding."
mrs,September 2019,50,Metromover,Zohe C,And enjoy all the free transportation around the city.
This is the best of my tax dollars at work.,September 2019,50,Metromover,Tom R,This is free! Need I say more? It serves a limited area in and around downtown Miami. It has helped make Downtown Miami more walker friendly. Did I forget to mention it’s free!
Fantastic free transport,August 2019,50,Metromover,Purplemusky,We used the metro mover during our  Miami stay in August and it was a great way to travel.  It’s free and a great way to get around at no expense.
