review,travel_date,place,title,usr_code,rating
"Staying only a few blocks away, while visiting Memphis from Portland, OR,  based on the reviews I thought I would attend this church and I very glad I did. Several times during worship I had an opportunity to engage briefly with people around me, based on instructions from the pulpit. The messages in between worship songs were inspiring, particularly one given in reference to the reopening of the National Civil Rights Museum the previous day. The large choir and supporting musicians were able to make the pews vibrate on occasion. Make a joyful noise indeed. The relatively new (Jan, 2013) pastor delivered a spot on message. It didn't seem like I was there 2-1/4 hours. I usually get fidgety at 1-1/4. I didn't. I'm guessing about 2,000 attended. Nearly a full house. A bible based church.",April 2014,Mississippi Boulevard Christian Church,Very welcoming place of worship,Huskie4,50
"This church really opens it doors to the community. I have early voted here as well as attended UTHSC's white coat ceremony for incoming medical students. The church is very clean, well-kept, modern A/V system so you can see and hear - even from way in the back. There is ample parking, so large events are not a problem. They are really a great congregation to be so welcoming to the community.",August 2014,Mississippi Boulevard Christian Church,"Nice facility, very well-kept",AshleyM739,50
You can't talk about Memphis without talking about religion and this building has seen a lot of famous speakers and a lot of famous settings. If you enjoy history take this site in. ,December 2015,Mississippi Boulevard Christian Church,Lots of Religious History,ArkansasMinister,40
Loved re-learning the history of the beginnings of so many 50's entertainers. The guide is excellent and has a great sense of humor. ,October 2019,Sun Studio,Short but Sweet,AlandNancyr,50
This place was amazing. We enjoyed every second of the tour. Our guide was great and kept your attention with his upbeat energy and knowledge. So cool seeing and hearing the stories of the great musicians whom performed there. Loved it! Highly recommend!,August 2019,Sun Studio,Wow - so nostalgic ,Chelsea C,50
"What a place to visit. A must when visiting Memphis. The history of this place. Went on a guided tour with Carla. Her enthusiasm and knowledge was infectious and she had the big group of visitors enjoying every moment of the tour.  Heard all about Elvis, Rufus and Carla Thomas to name a few. Listened to some great music. Took photos near the recording studio. Fabulous tour. Would recording ",October 2019,Sun Studio,Historic recording studios still doing great work,redhead286,50
"The location was not so great but the Mall is big, customer friendly and great prices. It is in an industrial are so it appears unsafe but parking is right in front.",July 2017,Antique Warehouse Mall,Summer fun,Patricia B,40
"Audubon park is located right next to the University of Memphis and always has visitors! It is a well kept park with a marked and paved 1 mile trail and a small play ground. It's also a popular site for local events (craft fairs, etc.). There's plenty of parking and benches. My husband and I love it! ",March 2016,Audubon Park,Beautiful city park!,Kelcey G,50
"To close- this place is great- a must see if you love R&R and find yourself in Memphis! Thanks again to our terrific guide, too.",November 2019,Sun Studio,Simply awesome.,HalClarke,50
Brilliant tour with a great tour guide who knew his stuff!  You can stand on the very spot Elvis Presley recorded his first song. At least I think it was his first song. So much information to take in.,October 2019,Sun Studio,Fabulous experience!,BandCNove,50
"Sun Studio won't be the biggest location you visit in Memphis, but it's history in the world of music is unparalleled. If you love rock n roll and rock music this is where the earliest  records  were cut. They have a friendly and cheap cafe for cold drinks and treats while you wait for your tour, and some nice merch  and cds to buy. Best of all are the guides. We were regally treated  by Graham, who told us the history with great enthusiasm and engendered a fun atmosphere among our group. He plays a mean boogie piano and is a musician in his own right. You can tell by his clear love for Sun Studios.  Highly recommended.",November 2019,Sun Studio,Great tour great guide,Asgardian13,50
"We ended up here during a very bad bus tour, but the studio is incredible and certainly worth visiting. It's been made into a very interesting museum and you learn a lot about music history.",November 2019,Sun Studio,Excellent place to tour if you like Johnny Cash & the King,Excursion280864,50
It was very interesting and entertaining! I would recommend this tour if you enjoy music. Glad to see this place is still used to record music today!,November 2019,Sun Studio,Great Tour!,Happiness31038277668,50
"AI always enjoy finding beautiful historic Catholic Churches when travelling that also have a great liturgy, and this one hit the mark.  Run by the Dominicans since the 1850's, this downtown Memphis church had a 10 a.m. Mass on New Years day.  The Christmas decorations were nicely done, and the organ was great.  I highly recommend it to Catholic travelers in Memphis.",January 2014,St. Peter Catholic Church,Great Historic Catholic Church,johncatworth,50
"Located on Mud Island in Memphis, TN, this green space along the Mississippi is free and open to the public 7 days a week.  Stroll along the ""Big Muddy,"" enjoy the music of the cottonwood trees, and think about Mark Twain piloting steamboats past this exact spot.  Bring your Frisbee or baseball mitts and a ball, and enjoy.",July 2014,Mississippi Greenbelt Park,"Mississippi Greenbelt Park, Memphis TN",Douglas M,50
"The exhibits feature waterfowl artifacts, original artwork (painting, carving), vintage firearms, many mounted fowl, and a little theater.  It is not a big space, so one would need only ~30 minutes to check out all the displays.",June 2015,Ducks Unlimited Waterfowling Heritage Center,A museum dedicated to waterfowl and wetlands conservation; surprisingly good,Jim L,40
